Country,Inhabitants,IDHI
Curaçao,218 764,None
Sainte-Lucie,190 338,"0,559"
Guam,179 651,None
Kiribati,170 534,"0,516"
Grenade,128 874,None
États fédérés de Micronésie,124 610,None
Jersey,113 131,None
Aruba,109 618,None
Seychelles,106 537,"0,661"
Tonga,106 471,"0,666"
Saint-Vincent-et-les-Grenadines,106 017,None
Îles Vierges des États-Unis,104 332,None
Îles Vierges des États-Unis,100 091,None
Antigua-et-Barbuda,93 219,None
Île de Man,84 263,None
Andorre,79 034,None
Dominique,72 412,None
Îles Caïmans,68 136,None
Bermudes,64 185,None
Guernesey,63 065,None
Groenland,56 243,None
Îles Féroé,52 889,None
Îles Mariannes du Nord,49 481,None
Saint-Christophe-et-Niévès,47 606,None
Îles Turques-et-Caïques,45 114,None
Samoa américaines,45 035,None
Saint-Martin,44 042,None
Îles Marshall,42 050,None
Liechtenstein,39 039,None
Monaco,36 686,None
Saint-Marin,33 745,None
Gibraltar,32 669,None
Saint-Martin,31 948,None
Îles Vierges britanniques,31 122,None
Pays-Bas caribéens,26 706,None
Palaos,18 024,None
Îles Cook,17 003,None
Anguilla,15 753,None
Nauru,12 511,None
Wallis-et-Futuna,11 627,None
Tuvalu,11 204,"0,541"
Saint-Barthélemy,10 861,None
Saint-Pierre-et-Miquelon,5 883,None
"Sainte-Hélène, Ascension et Tristan da Cunha",5 404,None
Montserrat,4 417,None
Malouines,3 764,None
Niue,1 937,None
Tokelau,1 849,None
Vatican,511,None
